ID,text,label
SUAVK39Z,I feel that it was better I dieAm happy,Depression
9JDAGUV3,Why do I get hallucinations?,Drugs
419WR1LQ,I am stresseed due to lack of financial support in school,Depression
6UY7DX6Q,Why is life important?,Suicide
FYC0FTFB,How could I be helped to go through the depression?,Depression
V6VSDJ5I,What are the effects of depression to ones health,Depression
9736J4UE,Why is everything so hard to deal with in this life,Depression
AY8L479Y, I feel emotionally overwhelmed ,Depression
OSFJV5EC,How to manage taking alcohol?,Alcohol
U4SGUGGM,Is heaven open for us who smoke bhang?,Drugs
JGBMEUC1,How to survive without money?,Depression
LM8GPR0X,How do i stop this? What do I do when life becomes unbearable?,Alcohol
EIF8Y8MX,"I was ever sad,alone and always on drugsNow I know how to cope with negative aspects in my life",Depression
03TVUJ9J,"I feel empty,absent minded",Depression
CBMIYRK7,I experienced depression in my studies,Depression
Y5MH83OX,I feel like am alone in this world,Depression
OHIWTBLA,I feel low and out of place,Depression
0LPO6TKU,What should i do to get out of depression?,Depression
WQG9NYO0,How can I stop using alcohol?,Alcohol
WYDRQKK9,"I feel hopeless, unworthy and useless …How do I cope with stress and frorge the past?",Depression
H6HGNIPM,Does mediataton help stop weed addiction?,Drugs
JJFB80YG,"I feel bad because life difficulties, I also feel bad that I have no one to control",Depression
SI6LH9S9,What are the effects of smoking bhang?,Drugs
P4T442GZ,"Sadness,hatredNow feeling is happiness",Depression
6T60B8ZM,"Feelings then were like everything was falling apart,Now things are in control",Depression
EL8WHB10,how do I cope with ta difficult situation?what will I d to avoid it?,Depression
K9DGPFW6,Deteriorating academic performance,Depression
46DPSGSJ,Effect of alcohol both in the society and my body,Alcohol
AWTMRJ2C,How could i stop using bhang,Drugs
Z38CHPES,How to avoid drug abuse?,Drugs
NUJNN8HA,How will I stop? What addiction means.,Alcohol
O7SRICTV,I feel rejected,Depression
TY6R8YBF, Is it right for depressed person to use drugs,Depression
4DDQ2BRX,I just stopped taking alcohol because i thought it was not good for me,Alcohol
CV11SA2H,How do I seek help from alcoholism,Alcohol
NYZTVG5E,i am  very stressed,Depression
G5GF4H7P,Main challenges of depression and their side effects to my health,Depression
ZB73RBET, feel confused and helpless and was pushed to the cornerFeeling kind of better,Depression
93G4A70N,How  does one avoid bad company?,Drugs
X45W9Q0S,How to avoiod depression in campus,Depression
ZBUCI1MA,Causes of suicide by youths,Suicide
J9T35NVE,What are the effects of alcohol?,Alcohol
JP9NVFHD,"I feel very low,how do I overcome it?",Depression
ML2SKCYN,I feel painful and unwanted,Depression
MT04SPT2,What can I do to change the situation?,Depression
G4VUYDC1,What to do to resist the bad feeling?,Depression
5M88BU4L,"Too much classwork, and how do I cope ith many responsibilities",Depression
2ANINIO7,How can I stop alcohol,Alcohol
BXMHPTHE,"I am facing a lot of challenges in life financially, emotionally, psycologically and with no solutions…How can I safely look for solutions about depression on google",Depression
459AWRKP,I always feel down,Depression
2ZH6D7O3,sad and lonely,Depression
9XPAAVP5,I feel I'm unworthy and wasted,Depression
8MPE9DNC,what are the best ways I can follow to stop using it,Alcohol
65WCW3PH,I think I can handle my drink,Alcohol
J4ES54MZ,I feel depressed because of relationship issueS,Depression
97VW5839,How can i stop taking alcohol,Alcohol
6T8HVMG3,what can I do to minimize my alcoholism,Alcohol
0RFTD03Y,How to deal and overcome bad situation,Suicide
KBYAYAJC,Effects of alcohol?,Alcohol
9WUGXUWF, I used my rent money in gambling,Depression
QKBV071K,Why do i exist?,Depression
BM946H9J,Will Prayer help me out of sucidal thoughts.,Suicide
IBADW0FW,How can I get help?,Depression
5I2N159N,Who could be the reason for depression?,Depression
KTL0D91A,I do suffer depression at times and i think the best way to avoid it is keeping myself busy,Depression
1JALYOEE,How to avoid alcohol,Alcohol
HD9XSQZD,Lonely and happiness,Depression
T65023SD,is there harm fo me when I take alcohol,Alcohol
YAKKXF3T,What is the  importance of alcohol?,Alcohol
PENYQE5S,I feel indescribable sadness,Depression
89FS5OH2,What are the common ways to reduce depression,Depression
HSAB9P4S,I feel so low,Depression
RI9SGXM0,Parental negletion causing  my depression,Depression
4B8XOMN7,Effects of alcohol on my body health,Alcohol
NGK6ZM5H,I have a bad company of friends that influence me to smoke weed,Drugs
TD9B0JK7,why is that I don’t succed in what I do,Depression
SCTJPCQ1,Is there self worth in life?,Suicide
QDBMJA08, I have low self esteem ,Depression
YS9D64RF,How can I overcome alcoholism? ,Alcohol
MKWX9595,How can i stop using weed,Drugs
HIE8CSV7,I am downhearted. How can I overcome the feeling?,Depression
F6LTQ978,How to stop alcohol,Alcohol
P1R7AXPE,should I stop drinking alcohol,Alcohol
SCBE9RL5,How to overcome such an incident,Suicide
27LQQZQ3,Side effects and problems associated with depression,Depression
KHJGZIB1,"I feel so irritated, why does this happen?",Depression
VPIOXWS8,What is the best way to withdraw from drugs?,Drugs
4HDJ2MLK,Feelings of anxiety and fear and feelings of inadequacy,Depression
IXEQA3Y4,What is a good of life?,Alcohol
X7ONF6SO,What are the effects of depression?,Depression
MTTRV505,Measures to take to overcome suicidal thoughts,Suicide
GR0P3AXE,how do I  avoid getting addicted,Alcohol
DQYT5T05,Feeling lonelyNow I feel better,Depression
50NFWPFO, why do we use bhang?,Drugs
G1CNQX97,I felt incomplete and overthinking stress ,Depression
7ONNL6JS,"My feelings were chaotic,sad,isolatedNow better",Depression
HBG8Z32E,How to study to avoid failing  of my exams,Depression
RICJ4SMV,"Was sad,lonely,confusedNow happy and content",Depression
87FJU3OA,How can i stop drug abuse?,Drugs
4091K7GR,Why do we drink anyway? What is the effect of overdrinking alcohol?,Alcohol
PTJM4W2F,How to overcome this peer pressure of taking alcohol?,Alcohol
M4SRHJHN,I am thinking about school expenses,Depression
F4UA4E08,how do I handle pain,Depression
4YAZ71T4,what can I do inorder to stop alcohol abuse,Alcohol
RG2YXG81,How to manage social drinking?,Alcohol
QY55OB2E,Why is life so difficult?,Suicide
SP3FVI1L,I am sad,Depression
LZX05AM2, It feels as if my head is exploding Lots of burnout Am feeling much better,Depression
TNLKFJ3W,I feel hopelessFor now I am just fine,Depression
VSMF1JK5,"I got to a stagnation point,dropped out of classes",Depression
0WD80PHP,what are the advantages of taking bhang?,Drugs
1I1423F8,I feel stressed and hopeless,Depression
SD3C3HNH,Challenging,Depression
9XHFLZW0,I feel abandoned and lonely,Depression
PBVEUVY5,I can't stop smoking weed because of the good feeling of calmness.,Drugs
V0SS50TS,I am overwhelmed by life.,Suicide
1VIUC0G0,I feel terrible,Depression
J6DZPN7V,Is taking drugs worth it?,Drugs
4JF0OXGT,I feel like days were flying past me,Depression
S1FD3U91,Why do bad things always happen to me?,Depression
T62AVHMC,Lonely and stressed,Depression
11CGOZLV,How can I avoid wasting my money on alcohol with friends,Alcohol
UL95QSEX,Dissappointed,Depression
4FZFI3HJ,How does one come out of depression?,Depression
33K6R2R3,How to stop the addiction,Alcohol
LPV5XWOK,"I am Lonely and nott myself, simply because of relationship issues",Depression
X8GDM3BF,I'm still depressed and worried of my mental health,Depression
OZFGITK8,How will I stop?,Alcohol
HF2DDNQZ, What can one do to reduce the feeling of depression?,Depression
YYNUDOWG,How to reduce excess intake of alcohol,Alcohol
P7Z3JK1D,whom should I disclose to my issues,Depression
L1GXD7QK,Impacts of alcohol in real life,Alcohol
P6F3W88R,How can I stop taking bhang?,Drugs
XPNDRLBZ,I was so depressed and I feel like the whole world was against me,Depression
TU17R8EH," I really feel bored with the situation I am in , and experiencing dizzines  and a lack of appetite",Depression
MNARVFA1,I feel things were not going my way and feel like giving up,Depression
3HVSN1L9,I feel like I have wasted my life,Depression
AET542VI,"Insomia,headache,social problems",Depression
E064SNA9,How can I do without alcohol when stressed?,Alcohol
39NBD6FO,What makes one an addict of alcohol?,Alcohol
TFB5T5K9,How can i stop drinking,Alcohol
X1ROWD34,How to stop/ reduce alcohol,Alcohol
5SQF3ZIP,How can I do without a relationship?,Depression
PW1OUC5S,How to gain momentum in academics,Depression
HFT4O5RI,I feel that nobody loved me as much if I was in my own world I feel much bette,Depression
BIQ3K5MF,I feel like the world is against me ,Depression
RPR79301,How can I stop drug usage?,Drugs
SRRPHNPR,Does bhang affect your memory?,Drugs
X8ZI1GT6," I haveI had a feeling of being lone ranger, but I'm okay now",Depression
OSOAIJEZ,How to stop bhang?,Drugs
UVSIAT7E,I feel like giving up everything,Depression
K186E1KR,I feel sad,Depression
IMXTN5TC,I feel less important to anyone,Depression
DXPY4E6H,Causes of alcoholism. ways in which one can do to stop alcohol,Alcohol
Z5ZE798J,Ways to stop alcohol addiction,Alcohol
SDRU0I0I,I feel so low like the only way out is death,Depression
7QCXEWFU,What is more to life?,Drugs
F9NRCHYI,"Looking for employment,still depressed",Depression
519MFQ9G,what do I do to stop?,Drugs
AWQDGRT6,i feel well okay,Depression
PO5PLBDQ,I feel low and lost hope in everythingI feel better now,Depression
DGPCPMEH,I have a disease that drained all resources from my family,Depression
5JLVKXY3,I am involved in a Love affair and I would like to know hw can I control myself?,Depression
H9JJ8H3N,I waste money on alcohol,Alcohol
CGF1MPRY,What are the effects of smoking bhang?,Drugs
GUDI29F9,What are the best coping strategies to deal with stress?,Alcohol
W1E9KIF6," my sister oftenly faints, this troubles me",Depression
9U6OKPXX,Hopeless and how to get out of it,Depression
4XNB1V5E,I am depressed and want solitude,Depression
VHHH5F68,Is withdrawal from people helpful from commiting suicide?,Suicide
NHTQ6O30,i feel stressed,Depression
FHO1C5EF,Is there a peer counselling programme,Depression
7TYFSZHT,How to overcome alcoholism?,Alcohol
MO49SQRK,How can I stop taking alcohol?,Alcohol
JGF06QXV,I hate my life,Depression
2WAYPCEQ,I have given up with everything in life ,Depression
U9T40R7Q,Causes of suicide,Suicide
H7X049T2, im feeling stressed,Depression
CEAOWJOR,Why is the larger percentage of youths involved in alcoholism,Alcohol
BXPHSVEO,Where i get money for my needs…Where do I get money  for personal needs?,Depression
C7QD5SLH,How do i get better?,Depression
C4Q8W3C9,How to avoid the thoughts?,Suicide
Z5XWUAEQ,What is the reason for depression?,Depression
Y7B63LQT,Why do people think of commiting suicide?,Suicide
SGZIY718,What are the effects of drug consumption?,Drugs
QCIAO332,How do I overcome the feeling of being  weaker and weaker in thoughts,Depression
1A99866J,I feel horrible and unsatisfied,Depression
2K0PN69M,Ways of overcoming peer influence of alcoholism.,Alcohol
7X4ZSOCS,How do I stop taking alcohol? Do you recommend rehabilitation,Alcohol
YNB3JEUO,What will my mum think of me whren she finds out that I smoke weed?,Drugs
AP3VVFX6,Will alcohol lead me to a bad place in life,Alcohol
JPRV8I5J,Why do I suffer?,Suicide
L9NXPIEN,Depressed about broken relationship with a church pastor after having sex with his highschool daughter,Depression
7L9G3QJ9,Who can guide me whn depressed?,Depression
J55053XP,I am financially constrained over school fees and my  family background is not stable with a lot of debts…I have an elderly brother who could easily support me but has no job even after graduating,Depression
YMIV9TAR,stressed and overwhelmed by the many thingof lifeRight now I'm taking things easy,Depression
ROK05XD3,I feel very discouraged my self esteem went low,Depression
JOWFMRU7,"I feel unloved, unwanted",Depression
CPZ81QFJ,I need advise on how to avoid alcohol,Alcohol
1V9AWIGY,Does smoking make one cool?,Drugs
R0AW64SP,I feel depressed because of issues with my best friend and my parents I was at my lowest point being lowkey everyday,Depression
TD15L93X, I never feel like I am npt worth living,Depression
9QYAHRR5,feel so low and sad,Depression
NUCSE95E,Being left by the person i loved the most,Depression
8NNK7CZJ,I feel trapped,Depression
94N9JHU2,This are my loneliest moments,Depression
CZ0V545V,I was once depressed and I feel like giving up with my life,Depression
UUB5FREC,I tried asking how to stop the habit,Alcohol
LD2JTQWZ,what are ways of dealing with depression,Depression
DQXPXEQN,I want to be alone in no company of friends,Depression
PB50CNUF,I told myself to be strong enough,Depression
6QZH2CWL,"Lonely, isolated, very weak",Depression
JYHRF3IE,I feel helpless,Depression
NQL6BXUU,Is life this hard?,Depression
F5N4RU80,Why is it that my health is deteroriating?,Alcohol
KPWR5OTH,"I feel withdrawn,alone,stresssed sad",Depression
IO6PZ9Y1,How can I overcome suicide from heartbreak?,Suicide
F0I7GIGE,I feel desparate…why is the world so unfair,Depression
698A4P0J,I feel like the world is falling apart,Depression
WLEWY07N,Effects of alcohol in my life?,Alcohol
24NNBTL7,How to deal with hallucinations?,Drugs
1HA77QQ3," Sad, lonely and tired",Depression
YZWFPP8M,feel very lonelyI'm quite okay,Depression
A4BCYETH,I take alcohol for personal realization.,Alcohol
YIXKUJUC,how to quit alcohol?,Alcohol
NIAOYQXU,is life even worth it,Suicide
N2DJJ1XY,I feel that everything was coming to an end,Depression
XY588V2F,What are the effects of alcohol on our bodies,Alcohol
D64IPYOU,How to manage my relationship,Suicide
SAWSGYZB,What is the solution for feeling hopeless,Depression
0UNXTGLP,How can i motivate myself when feeling low,Depression
UTKO2AZD,Never sought assistance,Suicide
2ASR64M6,Is alcohol really harmful?,Alcohol
BGPNXEE0,What could i do to deal with frustrations?,Drugs
93HHN24Q,why some things happen over and over again,Suicide
MOVEQ145,I did not seek help,Suicide
ZHP9VVGC,Does weed do any  good?,Drugs
SA2FYD2A,I feel heart broken,Depression
WGML4P7B,If the person i wronged will forgive me and accept reconcilliation,Suicide
3GLOZPU4,"I feel like the world was against me, especially from friends and relatives who were close to me I conqured it that my life is more important",Depression
SMVFTBV1,The feeling was like alone in the world,Depression
8E412HHJ,"Sad,lonely",Depression
X0YHNC8N, I feel like giving up,Depression
KLX5TBWE, Is it childlish to feel depressed,Depression
ZFTOS18U,How can I shun from the same?,Depression
OM77C6FZ,Feeling relieved,Depression
NOXKH5TS,Whom will I approach when mentally disturbed?,Depression
37IG68E9,why do I always feel heartbroken all the time,Suicide
YDMU6CHX,I have experienced stress which led to depressionI had the issue handled,Depression
Q4R2NXGE,I fee sad and unwanted,Depression
WBGFUUCK,how can I be helped to come out of depression?,Depression
ZP5PTWOV,I feel sad,Depression
AAKPNVQO,I am broke and very  unpreparedness in exams,Depression
2JTGDT5L,What if I live in an isolated place?,Depression
UU3DHPUN,How i stop the behaviour of alcohol taking,Alcohol
ATO107VQ, how I can be able to handle my stress and not feel like taking away my life,Suicide
TBAG3V8T,"what could be the cause of my depression,how can I overcome it",Depression
6IGFTWHT,Can beer lead to any problem?,Alcohol
1AOWXKXV,How to stop?,Drugs
FAFZLNY4,I am in a financial crisis,Depression
SRK3NE8O,I have smoked weed and addidcted and need assistance?,Drugs
LGBXU9PN,Is alccohol the only form of entertainment for the young adults?,Alcohol
T8BIPMVF,I feel Sad,Depression
4VMEBNDV,I lost my father,Depression
2QRTGS6A,Why I needed to keep holding on to nothing. If my life really ahd a purpose,Suicide
E1NEHTU0,How to convince someone against commiting suicide,Suicide
019YKKY0,"I feel bad about myself, I dont want to interact with anyone",Depression
A04YR7N0,How to control my emotions. How to stop drinnking.,Alcohol
XBFD6MDZ,I feel so lowI feel good and better now,Depression
EK67UMY1,I feel like commiting suicide and need solutions to the problem which led to the depression,Depression
124Y7IO6,Financial issues,Depression
6XVOCUMI,How can i stop bhang?,Drugs
MIZ8T6M9,"How do I deal with depression,should I do?",Depression
3WINGR1Y,How can i stop taking alcohol,Alcohol
ZN43XFVV,I feel like nobody cares,Depression
4SB4B0B5, I have and the feeling I had was not very pleasing ,Depression
OLQHJ0PO,How should I overcome depression? Why must it be me?,Depression
UZFCOXZP,How can I stay without smoking?,Drugs
1M6N5OI2,How to stop the addiction?,Alcohol
BHG2VBMC,I feel like killing myself and killing the people who caused my depression,Depression
8BKND7CF,I almost gave up and got no assistance,Depression
8UAQNJAY,Am I addicted?,Alcohol
JFXSWJSP,Is alcohol helpful to ones health,Alcohol
57OCJ216,What is a permanent solution to depressed person?,Depression
D4PDKNYF,How to deal with the problems which can lead to suicide,Suicide
0TID986J,how to quit alcohol,Alcohol
V8L9C5XG,I am overwhelmed on how to deal with the issue below I am fine now,Depression
COHF4DEW," I feel severely depressed I withdraw from people, and prefer to be alone",Depression
GI46OIMU,I lost a bet with house rent,Depression
MVVH8XCA,I feel uneasy difficulty with life,Depression
BS8XRA3X,"I have feel sad and hopeless, not sure if that's depression",Depression
DP6D3EG6,Are there any helpful effects of bhang?,Drugs
V0C7LKYN,"I am very nervous and bothered, ",Depression
5272SYMK,Where can I find a rehabilitation center?,Drugs
PKIO2M1G," Suicidal thoughts, stress, hyper-arousal",Depression
PQP1IRYK,What are the main causes of excessive alcohol taking,Alcohol
9EJV3WJK,Why is life so difficult?,Suicide
SJ2J5OEL, I don't feel like talking to anyone,Depression
1IHTBDJ2,What can I do to be relieved?,Depression
LIHIU7DI,Main causes of depression and how to deal with them when they arise,Depression
U3T52WN4, I feel lonely and discouraged,Depression
52BWXOL8,SadI am good,Depression
KWNGKGHQ,I feel like life does not make sense,Depression
3MXZDXDL,How to limit myself from getting depressed,Depression
2KOGKZUF,"I feel like my life is done, no more joy in life",Depression
JZRQUUF1,The loss of my beloved father,Depression
